TICID,Tmag,RA,Dec,Nsector
31779649,12.03,50.3211,-70.7664,15
31795900,8.59,50.728,-71.6823,15
31798594,5.61,51.0101,-69.6245,14
31798927,11.13,51.0685,-70.9849,13
31799975,5.57,51.401,-69.336,16
31814318,8.02,51.2206,-68.3343,15
31815637,8.3,51.5796,-67.6159,16
31816240,8.17,51.5925,-69.6057,16
31850842,10.16,52.1536,-66.9201,13
31851192,14.98,52.1655,-67.9399,14
31852073,9.95,52.3694,-70.7322,18
31852879,8.62,52.6728,-70.7257,18
31852980,9.85,52.5405,-70.3996,19
31853965,8.2,52.4264,-67.2157,15
31867144,5.84,52.7157,-66.4897,15
31867858,9.94,52.9966,-68.9599,18
31871193,10.21,53.3949,-67.6931,16
31925538,8.25,53.3076,-69.8699,13
31927068,9.32,53.6362,-69.2669,14
31929204,11.28,54.1729,-69.1984,13
31929205,11.09,54.184,-69.2006,13
31929321,11.13,54.0634,-69.5853,14
31943231,9.08,54.3152,-70.5455,14
31944460,8.25,54.3731,-66.5243,17
31945363,10.03,54.6527,-67.9722,13
31945490,11.29,54.612,-68.4128,14
31945773,10.54,54.795,-69.3148,14
31946250,15.15,54.7567,-70.8626,15
31946252,8.46,54.6835,-70.8653,23
31960109,8.67,54.9251,-71.0983,14
31960529,8.58,55.0913,-69.9548,22
31960580,11.04,55.0216,-69.8046,14
31961002,8.29,55.076,-68.4182,23
31961007,11.82,54.9572,-68.4053,15
31961121,12.6,54.8399,-68.0661,14
31961123,12.15,54.8482,-68.0645,14
31962066,9.75,55.2302,-66.5228,14
31962067,10.66,55.2323,-66.5241,14
31962715,9.19,55.3014,-68.5405,15
31962742,10.14,55.2296,-68.6499,15
31962935,8.98,55.3736,-69.2707,20
31963132,10.47,55.1874,-69.8609,14
31963524,11.08,55.1236,-70.996,14
31998168,15.89,55.5943,-67.1593,15
31998443,12.34,55.4969,-66.2048,13
31998581,16.82,55.8156,-66.0347,14
31999341,10.8,55.9585,-68.5715,25
31999683,8.67,55.8642,-69.6906,17
31999747,8.41,55.8806,-69.8893,16
